,Receita,Ingredientes
10,Pudim de Leite Condensado,"{'4 unidades de ovo', '2 latas de leite condensado', '2 copos de leite', '2 colheres (sopa) de açúcar'}"
11,Torta de Liquidificador,"{'1 copo de óleo de soja', '2 copos de farinha de trigo', '1 colher (sopa) de fermento químico em pó', '1 copo de leite', '3 unidades de ovo', '1 colher (sopa) de óleo de girassol', '1 colher (sopa) de cebola picada', '1 dente de alho picado', '1 lata de seleta de legumes', '500 gr de peito de frango cozido e desfiado', '1 colher (sopa) de salsinha', '1 pitada de sal'}"
12,Cuscuz Paulista,"{'2 1/2 xícaras (chá) de farinha de milho amarela', '1 lata de milho em conserva', '2 latas de sardinha', '1 tablete de caldo de legumes', '50 gr de azeitona verde', '1 lata de molho de tomate', '1/2 copo de óleo de milho', '1 colher (sopa) de molho de pimenta', '1 colher (sopa) de salsa desidratada', '1 colher (sopa) de cebola desidratada', '1 lata de ervilha', '1 vidro de palmito picado', '1/2 unidade de pimentão vermelho picado', '1/2 unidade de pimentão verde picado'}"
13,Pãozinho de Cenoura,"{'3 unidades de cenoura grande', '3 unidades de ovo', '1 colher (sopa) de margarina', '1 copo de açúcar', '1 pitada de sal', '1/2 copo de óleo de girassol', '1/2 copo de água morna', '1 envelope de fermento biológico em pó (10gr)', '1 kg de farinha de trigo (acrescente só até dar o ponto)'}"
14,Pão Integral Caseiro com Aveia e Linhaça,"{'400 ml de água morna', '25 gr de fermento biológico fresco', '100 ml de óleo de girassol', '1 colher (sobremesa) de sal', '2 colheres (sopa) de açúcar mascavo', '1 xícara (chá) de aveia', '1/2 xícara (chá) de germen de trigo', '1 xícara (café) de sementes de linhaça', '400 gr de farinha integral', '600 gr de farinha de trigo (aproximadamente, até dar o ponto)'}"
15,Pão Estrela de Nutella,"{'2 unidades de ovo', '3 colheres (sobremesa) de açúcar', '30 gr de fermento biológico fresco ou 10 gr de fermento seco', '1 colher (sobremesa) de óleo de girassol', '3/4 xícara (chá) de leite', '3 xícaras (chá) de farinha de trigo', '1 colher (café) de sal', '1 pote de creme de avelãs'}"
16,Bolo Prestígio Econômico,"{'3 unidades de ovo', '2 xícaras (chá) de farinha de trigo', '2 xícaras (chá) de açúcar', '1 xícara (chá) de leite', '3 colheres (sopa) de chocolate em pó', '2 colheres (chá) de fermento químico em pó', '1/2 xícara (chá) de óleo de milho', '1/2 lata de leite condensado', '100 gr de coco ralado', '1 copo de leite', '1/2 lata de leite condensado', '2 colheres (sopa) de chocolate em pó', '3 colheres (sopa) de margarina'}"
17,Muffin de Maçã,"{'3 unidades de maçã sem casca', 'Suco de limão a gosto', '1 xícara (chá) de farinha de trigo', '1 colher (sopa) de fermento químico em pó', '1 pitada de sal', '1 colher (chá) de canela-da-china em pó', '1 pitada de noz-moscada', '1 colher (chá) de bicarbonato de sódio', '1 pote de iogurte desnatado (200gr)', '1 unidade de ovo batido', '1 colher (sopa) de manteiga', '2 colheres (sopa) de amido de milho', '70 gr de uva passa', 'Raspas de laranja a gosto', 'Margarina para untar a gosto', 'Farinha de trigo para polvilhar a gosto'}"
18,Bolo de Cenoura Fofinho com Cobertura,"{'1/2 xícara (chá) de amido de milho', '1 1/2 xícaras (chá) de açúcar', '1 1/2 xícaras (chá) de farinha de trigo', '3 unidades de ovo', '1 1/2 xícaras (chá) de óleo de milho', '2 xícaras (chá) de cenoura ralada', '2 colheres (chá) de fermento químico em pó', '1 colher (sopa) de licor de cacau', '2 colheres (sopa) de chocolate em pó', '2 colheres (sopa) de manteiga sem sal', '4 colheres (sopa) de água', '4 colheres (sopa) de açúcar'}"
19,Torta de Rúcula e Tomate Seco,"{'1 colher (sopa) de fermento químico em pó', '1 unidade de ovo', '2 xícaras (chá) de leite', '1 unidade de cebola picada', '1 xícara (chá) de farinha de trigo', '1/2 xícara (chá) de queijo ralado', 'Sal a gosto', 'Pimenta-do-reino branca a gosto', '2 colheres (sopa) de manteiga', '1 xícara (chá) de tomate seco', '1 colher (sopa) de alecrim', '3 xícaras (chá) de rúcula'}"
20,Quiche de Salmão com Brócolis,"{'250 gr de farinha de trigo peneirada', '5 gr de sal', '125 gr de manteiga sem sal gelada', '1 unidade de gema de ovo', '50 ml de água gelada', '4 unidades de ovo', '200 gr de creme de leite', '200 gr de ricota', '400 gr de salmão', '1 unidade de brócolis', 'Sal e pimenta-do-reino a gosto'}"
21,Empadão de Massa Podre Delicioso e Fácil,"{'6 xícaras (chá) de farinha de trigo', '2 unidades de gema de ovo', '1/2 copo de óleo de girassol', 'Margarina para dar liga a gosto', 'Sal a gosto', '1 unidade de cebola', '2 dentes de alho picados', '200 ml de polpa de tomate', '2 xícaras (chá) de leite', '2 colheres (sopa) de amido de milho bem cheias', '1 colher (café) de sal marinho', 'Azeitona verde picada a gosto', 'Palmito , camarão ou frango a gosto', 'Requeijão culinário a gosto'}"
22,Crepe de Nutella,"{'1 copo de farinha de trigo', '3 unidades de ovo', '1 copo de leite', '1 pitada de sal', '1 colher (sopa) de açúcar', '1 colher (sopa) de óleo de soja', '8 colheres (sopa) de creme de avelãs', '16 unidades de morango picados', '8 bolas de sorvete de creme', '8 colheres (chá) de calda de chocolate', '40 gr de amêndoas trituradas'}"
23,Torta Trufada de Leite Ninho,"{'1 1/2 pacotes de biscoito maisena triturado (300gr)', '4 colheres (sopa) de manteiga', '2 latas de leite condensado', '2 colheres (sopa) de manteiga', '1/2 xícara (chá) de leite em pó', '300 gr de chocolate meio amargo picado', '200 gr de creme de leite', '2 colheres (sopa) de rum', 'Chocolate meio amargo em raspas a gosto'}"
24,Gelado de Oreo,"{'1 pacote de biscoito de chocolate com recheio de baunilha oreo', '1 lata de leite condensado', '1 lata de creme de leite', '2 colheres (sopa) de cacau em pó', '2 unidades de clara de ovo em neve'}"
25,Cebola Empanada,"{'300 ml de leite', '2 xícaras (chá) de farinha de rosca', '1 xícara (chá) de farinha de trigo', 'Sal e temperos de sua preferência a gosto', '1 unidade de cebola média', 'Óleo de milho a gosto'}"
26,Massa de Coxinha Rápida,"{'3 xícaras (chá) de água', '3/4 xícara (chá) de óleo de soja', '3 tabletes de caldo de galinha', '3 1/2 xícaras (chá) de farinha de trigo'}"
27,Hambúrguer de Linguiça,"{'Sal e pimenta a gosto', '1 unidade de ovo', '150 gr de pão branco embebido em leite', '1 kg de linguiça toscana', '10 gr de salsinha', '1/2 unidade de pimentão vermelho bem picado', '1 unidade de cebola picadinha', '50 ml de azeite', '10 ml de vinagre branco', 'Sal e pimenta a gosto', 'Cerveja eisenbahn puro malte forte american ipa a gosto'}"
28,Suflê de Batata com Queijos,"{'400 gr de batata', '1/2 xícara (chá) de leite', '1 colher (chá) de fermento químico em pó', '100 gr de gorgonzola esfarelado', '100 gr de parmesão ralado grosso', '100 gr de queijo minas padrão ralado grosso', 'Manjericão picado a gosto', 'Sal e pimenta a gosto', '4 unidades de clara de ovo batida em neve'}"
29,Salada de Macarrão,"{'3 colheres (sopa) de maionese', '1 xícara (chá) de presunto magro', '2 colheres (sopa) de azeite', '400 gr de farfalle', 'Sal a gosto', 'Salsinha a gosto', 'Cebolinha verde a gosto'}"
30,Tomate Recheado com Ricota,"{'10 unidades de tomate maduro(s)', 'Queijo ralado a gosto', '200 gr de ricota', '3 dentes de alho picado(s)', '2 colheres (sopa) de azeite extra virgem', '2 colheres (sopa) de castanha-de-caju', 'Queijo ralado a gosto'}"
31,Geleia de Morangos,"{'4 xícaras (chá) de açúcar cristal orgânico', '10 xícaras (chá) de morango orgânico', 'Limão a gosto'}"
32,Doce de Leite Argentino,"{'2 litros de leite', '500 gr de açúcar', '6 gr de bicarbonato de sódio', '1 unidade de fava de baunilha'}"
33,Doce de Abóbora com Coco,"{'1 kg de abóbora moranga', '750 gr de açúcar', '1 pacote de coco ralado', '10 unidades de cravo-da-índia', '1 unidade de canela em pau'}"
34,Chips de Provolone,"{'200 gr de provolone', '1 colher (café) de orégano', '1 colher (café) de sal', '1/2 colher (café) de cúrcuma em pó'}"
35,Chips de Banana-da-terra,"{'Óleo de girassol para fritar a gosto', '2 unidades de banana-da-terra verde', 'Flor de sal a gosto'}"
36,Chips de Abobrinha ao Forno,"{'50 gr de farinha de rosca', '50 gr de queijo ralado', '1 colher (café) de sal', '1 colher (café) de pimenta-do-reino em grãos', '1 unidade de abobrinha em rodelas', '1 unidade de ovo batido'}"
37,Nhoque de Batata Doce,"{'500 gr de batata-doce', '2 unidades de ovo', '1 xícara (chá) de farinha de trigo'}"
38,Panqueca,"{'1 copo de farinha de trigo', '1 copo de leite', '3 unidades de ovo', 'Sal a gosto', '1 colher (sopa) de óleo de soja', '2 unidades de tomate', '200 gr de mussarela', '200 gr de presunto magro', '1 lata de ervilha', '1 lata de creme de leite', 'Sal a gosto', 'Pimenta-do-reino branca a gosto'}"
39,Massa com Espinafre,"{'500 gr de farfalle', '1 maço de espinafre', '1 colher (sopa) de parmesão', '500 ml de creme de leite', '2 colheres (sopa) de manteiga', 'Noz-moscada a gosto', 'Sal a gosto'}"
40,Tiramissú Rápido,"{'1/2 xícara (chá) de café forte', '1/4 xícara (chá) de rum', '2 pacotes de biscoito champagne', '450 gr de cream cheese', '1/2 xícara (chá) de açúcar', '4 unidades de clara de ovo batidas em neve', 'Chocolate em pó para polvilhar a gosto', 'Chocolate hidrogenado em raspas para decorar a gosto'}"
41,Tortinha de Morango,"{'750 gr de farinha de trigo especial', '250 gr de açúcar', '500 gr de margarina  (80% lipidios)', '3 unidades de gema de ovo', '1 colher (café) de essência de baunilha', '2 caixinhas de morango', '1 lata de leite condensado', '500 ml de leite', '2 colheres (sopa) de amido de milho', '1 colher (sopa) de margarina'}"
42,Torta Cremosa de Amendoim e Chocolate,"{'1 pacote de biscoito maisena', '1/2 xícara (chá) de amendoim tostado sem casca', '4 colheres (sopa) de margarina', '200 gr de chocolate ao leite picado', '1 lata de leite condensado', '1 1/2 xícaras (chá) de leite', '2 unidades de ovo', '1/3 xícara (chá) de amendoim tostado e sem casca'}"
43,Molho Pesto,"{'30 gr de pinolis', '2 dentes de alho', '100 gr de manjericão', '30 gr de parmesão', '100 ml de azeite extra virgem', '10 gr de sal grosso'}"
44,Molho Bolonhesa Vegetariano,"{'500 gr de hamburguer vegetal mix jasmine moído', '1 litro de polpa de tomate', 'Sal a gosto', '1 pitada de açúcar', '1 colher (sobremesa) de orégano seco', 'Pimenta-do-reino em grãos moída a gosto', '1/2 unidade de cebola picada', '3 dentes de alho picados', 'Azeite para refogar a gosto'}"
45,Bauru de Assadeira,"{'Margarina e farinha de trigo para untar a gosto', '1 xícara (chá) de margarina', '3 xícaras (chá) de farinha de trigo (o suficiente para não grudar nas mãos)', '1 xícara (chá) de óleo de soja', '2 unidades de ovo', '1 pitada de sal', '1 colher (chá) de açúcar', '2 tabletes de fermento biológico fresco', '1 1/2 xícaras (chá) de leite morno', '6 fatias de mussarela', '6 fatias de presunto magro', '3 unidades de tomate em rodelas', '1/2 xícara (chá) de cebola picada', '2 colheres (sopa) de vinagre branco', 'Salsinha e cebolinha à gosto a gosto', '1 unidade de gema de ovo para pincelar'}"
46,Esfiha Aberta de Carne,"{'1 tablete de fermento biológico fresco', '180 ml de água', '1/2 copo de óleo de soja', '500 gr de farinha de trigo', '1 colher (sobremesa) de sal', '1 colher (sobremesa) de açúcar', '1/2 unidade de cebola', '250 gr de patinho', '1/2 unidade de limão', 'Pimenta síria a gosto', '1 unidade de tomate', 'Sal a gosto', 'Cheiro-verde a gosto'}"
47,Receita de Bolo de Chocolate,"{'2 xícaras (chá) de farinha de trigo', '1 colher (sopa) de fermento químico em pó', '2 xícaras (chá) de açúcar', '1 xícara (chá) de chocolate em pó', '4 colheres (sopa) de margarina derretida', '3 unidades de ovo', '1 xícara (chá) de leite morno', '1 colher (chá) de essência de baunilha', '3 colheres (sopa) de margarina', 'Sal a gosto', '1 xícara (chá) de água', '3 colheres (sopa) de amido de milho', '5 colheres (sopa) de chocolate em pó', '1 xícara (chá) de açúcar'}"
48,Bolo de Chocolate Simples,"{'1 xícara (chá) de leite', '1 xícara (chá) de óleo de soja', '2 unidades de ovo', '2 xícaras (chá) de farinha de trigo', '1 xícara (chá) de achocolatado em pó', '1 xícara (chá) de açúcar', '1 colher (sopa) de fermento químico em pó', '2 colheres (sopa) de manteiga', '3 colheres (sopa) de achocolatado em pó', '3 colheres (sopa) de açúcar', '5 colheres (sopa) de leite'}"
49,Pão Caseiro,"{'500 ml de água', '1 kg de farinha de trigo', '1 unidade de ovo', '20 gr de fermento biológico fresco', '2 colheres (sopa) de manteiga', '2 colheres (sopa) de açúcar', '1 colher (sopa) de sal'}"
